"Nome","Categoria","Website","Email","Telefone","Status"
"Campos de Férias","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESYQHrOzAVbad4Wyvg_M_5Vy9-hHIHcdS9ckd6uaU3xWcCqkaSEUDylipTOc8oedE2gIY8UKwoRoouHY39zgO0WRGAyfdIgmmbiuXblteilYwcMfGnfXj4l4CFexK8DKHEIJo","hello@theinventors.io","+351 916 805 246","COMPLETO"
"Campo de Férias de Robótica em Oeiras! - Lisboa","Tecnologia e Robótica","https://www.google.pt/goto?url=CAEScwHrOzAVhZmRvCCMXocxwH-d_yMoxkf3tFt1g8nx9qftyiJDXonaqr0i0sH6-P6KZFPizU1J1oBO1IEcb3nZv5iSkmw6vd1cW8DqkOy7SbpyXjW0dsqcAmBBnDDSrsEL59wzV5wjfd89pF_uQGtFlwL8af8","","","FALHOU_SITE"
"SHARKCODERS | Inteligência Artificial e tecnologia para ...","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESUwHrOzAV2F4Bw0_KHlaQqkWDGFhT5u6QxYHjC-zwRuliqdzJnwqHX5JFFnvjd0Nb4fj8-1SgbSHdm8o20aWs7USg-HtyohPMAg1_89XtBN1sbcH-","info@sharkcoders.pt","","COMPLETO"
"Férias de Verão com Tecnologia - Assembly","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESdgHrOzAVnKRu92ksqJuggHSsYEeHMD-DrnHn2Q7mOFx9Y2-gePSEBFZFZEVfG8Y9Q8FfWCpsrnsnNE3IEopabkRyQN08i3cynHT9T_LVB4iD5WgG89aYPFFDCuogSl5ZQUXfAAS16gUaVnfrHA0Skqhb6TjXcHA","geral@assembly.pt","+351 211119918","COMPLETO"
"Home | RoboThink Portugal","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESTQHrOzAVP1kgCtTxx9zlsOQy__Ozz1nNlUYVmS-3MDzcOrIxuErYhsxHVBETN5UY72HriFh5Z41qHjGXhZn7C2K6IyU69DJRJ2h_QTSy","geral@robothink.pt","+351 914 040 001","COMPLETO"
"Bootcamps de Férias - Happy Code","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESbgHrOzAV8wRo-Ck0n1gtwDo8SQvnRTzW67dIBsaPEctrtzmCbWUDIzvd64ca1Bf345r6VEhdt-IE_o93eu79nMVebjqmyVQJmuAISaddR5SfZFmAL139DdR1o7OOxiY_6ig4ZpIRikkdW_ZEpj6l","info@happycode.pt","","COMPLETO"
"Rob9-16 | Férias de Verão – Projeto X - Técnico ULisboa","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESgAEB6zswFSlHgnKdSQqCTfl-IVPjyyxRoIBi7vwdZJsI8bgKIun8ePuAizrziBA5RVIqqwTL4eQ12PMk3yoipTt55ItRU7hayZZAXRWRYLjWy7ApR6jk7mVODSYz4m1w3a6CH2DHWcVX5hBUbEY8Gc1D3HYw4C_8-ZKSQyYoC3efEg","rob916@tecnico.ulisboa.pt","","COMPLETO"
"Campo de Férias de Robótica em Oeiras no Verão","Tecnologia e Robótica","https://www.google.pt/goto?url=CAEShQEB6zswFWBVMzEcujRvyPG2IMDrhyLXqNlsv7n1mbpzUCSQoV6iF7Py83b-ElyHvf622VZJ9OWzDv1I_F9lhfvu-SXDx98nyvH5qmaolrxtDDzc-WjVMobd0348H6-9D2RUSbT0olEfJ6kyOKxBH-626FgaiknuueapgeJszK7ChVEf9fQU","info@coloniasdeferias.pt","917 845 862","COMPLETO"
"Ocupação Científica dos Jovens nas Férias 2026","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESsAEB6zswFdAIideSc7XDDhW5_RiLkd8hrTI8Lns7VKv40xuXdU4BhSzGsC9OT_E0VltP1SIP--HWdUNaxkLxByCTLnjZNyfjqz_r7oYvAWO3uX-jfKACwLo5H5nhy_uI1ZVNPIpVDz06RDDQ2UqyZK5f4jxoKZa3jNj0j8Egh3IXbeBgmE7KLihQiE_lZM8R5iNRjWZDSZUJxm8mgpMPiBUQOfX2-_ZiinSBOX2ZV5oN1Q","","","FALHOU_SITE"
"Campos de Férias 2026 · The Inventors × Science4you · 8 ...","Tecnologia e Robótica","https://www.google.pt/goto?url=CAESUQHrOzAViyWiWzzU2mxxVafE4O95hdr98xsqdfr7U5vwC8HJt9OLOXzOawq5CYnOyfrqMFLT5pB3aRXruuewWf2hFKf8E1ml08zeyQByH8HCPw","","","FALHOU_SITE"
